,TIC,numax,e_numax,Tmag,Teff,e_Teff,Rstar,e_Rstar,Lstar,e_Lstar,Dist,e_Dist,RUWE,Flag,_RA,_DE,numax_bin
45239,140578874,37.3,2.5,8.0,4883,97,10.9,0.5,60.3,2.6,0.421,0.002,1.0,1,68.030649,-77.477397,1
46693,142305400,93.2,3.9,6.0,4787,95,6.6,0.3,20.5,0.6,0.105,0.0,0.88,1,41.387298,-42.8387,3
47925,144066888,59.1,3.3,8.0,5011,100,10.3,0.4,59.6,2.1,0.429,0.003,0.97,1,337.610637,-51.552294,2
49523,147565895,57.5,2.9,6.0,4750,95,7.5,0.3,25.6,0.8,0.113,0.0,1.05,1,163.68021,-42.018147,2
53314,155896371,91.5,3.8,8.0,4723,94,7.4,0.3,24.2,0.9,0.274,0.001,0.98,1,4.098704,-51.611425,3
59412,167169718,60.3,3.8,10.0,4788,95,7.5,0.4,26.7,1.5,0.686,0.005,1.01,1,97.008341,-66.627249,2
63033,176982730,31.4,2.2,10.0,4692,93,11.0,0.5,52.6,2.0,0.954,0.009,1.0,1,101.522427,-67.798416,1
80732,235906010,133.4,11.2,10.0,4796,95,5.3,0.2,13.3,0.4,0.489,0.003,1.07,1,290.352529,80.756842,4
96927,278702671,27.4,5.4,12.0,4846,96,10.1,0.5,50.8,3.6,2.42,0.076,1.0,1,334.579903,-41.530806,1
97637,279615774,124.6,5.6,8.0,4922,98,6.0,0.3,19.2,0.8,0.237,0.004,7.32,1,106.341828,-59.391192,4
101628,288661439,60.7,4.2,11.6,4540,90,9.1,0.4,31.7,1.6,1.501,0.027,1.08,1,114.47937,-12.045223,2
110113,309828103,92.7,4.0,10.0,4725,94,6.6,0.3,19.5,0.6,0.6,0.003,0.9,1,225.266062,53.296117,3
155731,459917383,37.7,1.9,6.0,4620,92,11.0,0.5,49.5,1.6,0.153,0.001,1.1,1,59.157327,3.057886,1
